missingMass,weight,SignalChannel
-0.47734675,1.0,1.0
2.9103012,1.0,2.0
1.6474581,1.0,2.0
0.8405362,1.0,1.0
1.3446591,1.0,2.0
1.2443894,1.0,2.0
0.16871206,1.0,1.0
2.8515458,1.0,1.0
1.411168,1.0,2.0
2.054749,1.0,2.0
2.306235,1.0,1.0
1.0592823,1.0,2.0
2.920032,1.0,2.0
2.3127851,1.0,2.0
1.6029803,1.0,2.0
2.648843,1.0,2.0
0.4708426,1.0,1.0
2.533109,1.0,1.0
2.60971,1.0,2.0
0.92135495,1.0,2.0
2.7354534,1.0,1.0
2.8325577,1.0,1.0
2.955267,1.0,1.0
1.7486348,1.0,2.0
2.4273071,1.0,1.0
1.8456767,1.0,1.0
2.3164961,1.0,2.0
2.283304,1.0,1.0
2.770436,1.0,2.0
0.05978358,1.0,2.0
2.5984397,1.0,2.0
0.6941541,1.0,2.0
1.4520937,1.0,2.0
2.7148795,1.0,1.0
2.049423,1.0,2.0
2.3565555,1.0,1.0
0.6371613,1.0,2.0
2.9594157,1.0,2.0
1.554341,1.0,2.0
-0.42253193,1.0,2.0
0.017196365,1.0,2.0
2.8998382,1.0,1.0
1.9590302,1.0,2.0
2.8770688,1.0,1.0
1.0566894,1.0,2.0
1.4033905,1.0,1.0
1.0684947,1.0,1.0
2.4914467,1.0,1.0
1.9446031,1.0,1.0
0.9138121,1.0,2.0
2.9136186,1.0,1.0
1.305083,1.0,1.0
-0.9925261,1.0,1.0
0.5951478,1.0,1.0
0.79215443,1.0,2.0
2.9508483,1.0,1.0
2.032647,1.0,2.0
2.4381058,1.0,1.0
0.3889537,1.0,2.0
1.7966706,1.0,2.0
2.145311,1.0,2.0
0.3354241,1.0,2.0
2.2919323,1.0,1.0
1.0128167,1.0,1.0
1.9463468,1.0,1.0
0.032411214,1.0,2.0
2.6903696,1.0,1.0
2.967905,1.0,1.0
1.6896276,1.0,1.0
-0.06389595,1.0,1.0
1.4670712,1.0,2.0
2.9797363,1.0,2.0
0.8087063,1.0,2.0
2.9486604,1.0,1.0
2.473263,1.0,1.0
2.916388,1.0,2.0
2.1759126,1.0,2.0
2.4143672,1.0,2.0
2.5863295,1.0,2.0
2.0149508,1.0,1.0
0.11029275,1.0,2.0
2.423889,1.0,2.0
2.919116,1.0,1.0
2.3179905,1.0,2.0
1.9729496,1.0,2.0
2.2892754,1.0,1.0
1.8332447,1.0,1.0
2.2617698,1.0,1.0
1.813261,1.0,1.0
-0.17270532,1.0,2.0
1.5078248,1.0,1.0
2.325697,1.0,1.0
2.2356203,1.0,1.0
2.5831032,1.0,2.0
2.6363287,1.0,2.0
2.6975121,1.0,2.0
2.2728858,1.0,1.0
2.7666128,1.0,2.0
2.1970634,1.0,1.0
2.5977218,1.0,1.0
-0.49750602,1.0,2.0
2.9893632,1.0,2.0
2.7732677,1.0,2.0
2.48246,1.0,1.0
2.391559,1.0,1.0
2.6004624,1.0,2.0
1.5201029,1.0,2.0
2.5529923,1.0,2.0
1.4362788,1.0,2.0
1.7994822,1.0,2.0
2.6509252,1.0,2.0
2.808823,1.0,2.0
1.0544572,1.0,1.0
1.1422035,1.0,2.0
1.9806719,1.0,2.0
1.5330726,1.0,2.0
0.52293885,1.0,1.0
2.045532,1.0,2.0
1.9763726,1.0,2.0
2.0678952,1.0,1.0
2.5312564,1.0,1.0
1.271366,1.0,2.0
-0.11504357,1.0,2.0
0.9871601,1.0,1.0
2.3637764,1.0,1.0
1.3381938,1.0,1.0
1.0476613,1.0,1.0
0.85664016,1.0,1.0
2.7026906,1.0,2.0
2.3329854,1.0,2.0
2.150662,1.0,1.0
-1.1418511,1.0,1.0
2.915146,1.0,1.0
2.8734503,1.0,2.0
0.2949418,1.0,2.0
2.1285076,1.0,1.0
1.4192305,1.0,2.0
1.4163479,1.0,1.0
2.1370494,1.0,2.0
2.5874748,1.0,2.0
2.126951,1.0,1.0
-0.044311184,1.0,2.0
2.9138405,1.0,1.0
1.4255915,1.0,2.0
-0.10266374,1.0,2.0
0.18325248,1.0,2.0
2.8524818,1.0,1.0
1.1884959,1.0,2.0
2.9433587,1.0,1.0
2.8552706,1.0,1.0
2.9981499,1.0,1.0
2.800189,1.0,2.0
1.337993,1.0,1.0
0.3560849,1.0,2.0
2.5693724,1.0,1.0
1.153015,1.0,2.0
2.1115475,1.0,2.0
1.943823,1.0,2.0
2.527966,1.0,1.0
1.1066977,1.0,1.0
2.8347225,1.0,1.0
2.8175058,1.0,1.0
2.075969,1.0,1.0
2.6610522,1.0,1.0
2.2501671,1.0,2.0
1.6228763,1.0,1.0
2.2020185,1.0,2.0
1.2798775,1.0,1.0
2.6234286,1.0,2.0
1.5200435,1.0,2.0
2.8087838,1.0,1.0
2.6538916,1.0,1.0
1.4824182,1.0,1.0
1.4846668,1.0,1.0
1.868134,1.0,1.0
2.476215,1.0,1.0
1.7836844,1.0,1.0
2.2390988,1.0,1.0
2.9085617,1.0,1.0
2.4130573,1.0,2.0
2.7543519,1.0,2.0
-0.13401769,1.0,2.0
2.929757,1.0,2.0
2.1299746,1.0,2.0
2.373398,1.0,1.0
0.047269303,1.0,2.0
1.8669401,1.0,1.0
2.3020797,1.0,2.0
1.7944676,1.0,2.0
0.44984,1.0,1.0
2.2295363,1.0,2.0
2.4362473,1.0,1.0
1.6946522,1.0,2.0
0.5409241,1.0,1.0
1.1488872,1.0,2.0
2.817498,1.0,1.0
0.21272936,1.0,2.0
2.445982,1.0,1.0
1.6748871,1.0,2.0
1.9005996,1.0,2.0
0.5492075,1.0,2.0
2.1718998,1.0,2.0
1.7645204,1.0,2.0
2.045317,1.0,2.0
2.060892,1.0,2.0
2.5190413,1.0,1.0
0.94017076,1.0,1.0
2.4865642,1.0,2.0
1.8568349,1.0,1.0
2.35181,1.0,2.0
1.3369378,1.0,1.0
2.9813094,1.0,2.0
1.832852,1.0,1.0
-0.11791541,1.0,1.0
2.6357796,1.0,1.0
1.0929201,1.0,2.0
1.9512466,1.0,1.0
1.882325,1.0,1.0
2.1064563,1.0,2.0
0.33019507,1.0,2.0
0.4923535,1.0,1.0
2.4714043,1.0,1.0
0.038637213,1.0,2.0
2.533345,1.0,1.0
1.2971456,1.0,2.0
2.3144488,1.0,2.0
2.4536402,1.0,2.0
2.907228,1.0,2.0
2.7782702,1.0,1.0
2.3910923,1.0,1.0
1.4627999,1.0,2.0
1.0375795,1.0,2.0
1.9484317,1.0,2.0
1.5186131,1.0,1.0
1.37052,1.0,2.0
0.09536608,1.0,1.0
1.5211352,1.0,2.0
2.205165,1.0,2.0
2.1939495,1.0,1.0
2.9723663,1.0,1.0
1.7007182,1.0,2.0
2.5866728,1.0,2.0
1.4642657,1.0,1.0
2.2840092,1.0,1.0
2.319152,1.0,2.0
2.9322956,1.0,2.0
2.2659235,1.0,2.0
2.3749008,1.0,2.0
2.5708292,1.0,1.0
2.05041,1.0,2.0
1.200818,1.0,2.0
2.8853126,1.0,2.0
-1.0136575,1.0,2.0
2.75761,1.0,2.0
2.6233914,1.0,2.0
2.93958,1.0,2.0
2.5651805,1.0,2.0
2.4271,1.0,1.0
1.0734934,1.0,2.0
2.2914665,1.0,1.0
1.5699502,1.0,2.0
1.8560064,1.0,1.0
2.9229665,1.0,1.0
2.5073411,1.0,1.0
2.1688385,1.0,1.0
2.8303096,1.0,2.0
1.929923,1.0,1.0
2.9640214,1.0,2.0
1.2033306,1.0,2.0
0.4524652,1.0,1.0
2.6928687,1.0,2.0
2.4051285,1.0,1.0
2.6039166,1.0,1.0
2.6469767,1.0,2.0
1.1356599,1.0,1.0
1.0908848,1.0,2.0
2.6974957,1.0,2.0
2.3674755,1.0,2.0
2.5042615,1.0,2.0
2.1276522,1.0,2.0
1.5743933,1.0,2.0
0.5627538,1.0,1.0
2.1959233,1.0,2.0
0.87046194,1.0,2.0
2.7302182,1.0,1.0
2.5515707,1.0,1.0
0.97191066,1.0,2.0
0.6712024,1.0,2.0
1.2773416,1.0,2.0
2.4499366,1.0,1.0
2.468125,1.0,2.0
1.3357817,1.0,2.0
0.21875782,1.0,1.0
2.1634119,1.0,2.0
-0.7640261,1.0,1.0
1.2688415,1.0,1.0
1.7269377,1.0,2.0
1.9549263,1.0,2.0
2.3429823,1.0,1.0
2.5890896,1.0,2.0
1.4063553,1.0,1.0
1.707811,1.0,1.0
1.9063414,1.0,2.0
1.9728434,1.0,1.0
2.790953,1.0,2.0
2.7098835,1.0,1.0
2.6810446,1.0,1.0
-0.030007973,1.0,1.0
2.9323525,1.0,2.0
2.448793,1.0,2.0
0.8045669,1.0,2.0
2.1005747,1.0,2.0
1.8594898,1.0,2.0
0.84933776,1.0,2.0
2.5160148,1.0,1.0
2.2691207,1.0,1.0
1.7881118,1.0,1.0
1.6215882,1.0,1.0
2.3326955,1.0,1.0
0.9599496,1.0,2.0
2.9349144,1.0,2.0
2.6210427,1.0,2.0
2.0618896,1.0,2.0
2.809604,1.0,2.0
1.9501016,1.0,2.0
2.9800801,1.0,1.0
2.7287908,1.0,1.0
2.808619,1.0,1.0
-0.19525477,1.0,2.0
1.834788,1.0,2.0
1.5912502,1.0,2.0
0.8331827,1.0,1.0
1.768728,1.0,1.0
2.5385609,1.0,1.0
2.2369518,1.0,2.0
2.0507126,1.0,2.0
2.9232213,1.0,2.0
2.7809303,1.0,1.0
2.734325,1.0,1.0
2.6781156,1.0,1.0
2.4156265,1.0,2.0
1.9925724,1.0,2.0
2.1256883,1.0,1.0
0.18643163,1.0,2.0
2.2169797,1.0,1.0
2.3189297,1.0,2.0
2.314347,1.0,2.0
1.4362309,1.0,1.0
2.5615354,1.0,2.0
1.3736731,1.0,1.0
2.9919143,1.0,2.0
0.31645927,1.0,2.0
1.2784437,1.0,2.0
2.2114248,1.0,1.0
0.8411608,1.0,1.0
-0.571192,1.0,2.0
2.405862,1.0,2.0
0.9672698,1.0,1.0
1.4049914,1.0,1.0
0.691696,1.0,1.0
2.74222,1.0,2.0
2.6569912,1.0,1.0
0.65830326,1.0,2.0
0.18192297,1.0,2.0
2.9532523,1.0,1.0
0.24851413,1.0,2.0
2.0345612,1.0,2.0
2.1748903,1.0,1.0
2.5820634,1.0,2.0
1.1479626,1.0,2.0
0.8463566,1.0,1.0
2.5759788,1.0,1.0
2.5491178,1.0,2.0
1.9917282,1.0,2.0
1.3421005,1.0,2.0
1.7127281,1.0,1.0
2.7556884,1.0,2.0
2.1211374,1.0,2.0
2.515827,1.0,2.0
2.2558298,1.0,2.0
1.8843298,1.0,2.0
1.0882971,1.0,1.0
2.6057653,1.0,2.0
2.5652368,1.0,1.0
1.614604,1.0,2.0
2.3484132,1.0,1.0
2.5099063,1.0,1.0
2.1718302,1.0,1.0
2.0784028,1.0,1.0
0.69811136,1.0,1.0
2.517306,1.0,2.0
2.8755534,1.0,1.0
2.907548,1.0,1.0
2.9288666,1.0,2.0
1.3061714,1.0,2.0
-0.61109114,1.0,2.0
2.9222927,1.0,2.0
1.9156755,1.0,2.0
-0.22321907,1.0,1.0
1.2828431,1.0,2.0
1.6155459,1.0,2.0
1.1308297,1.0,1.0
1.0698417,1.0,2.0
1.5426419,1.0,1.0
1.1811013,1.0,1.0
1.9326934,1.0,2.0
2.0918818,1.0,1.0
2.8306847,1.0,1.0
2.0490856,1.0,2.0
2.5740354,1.0,1.0
1.0815346,1.0,2.0
1.7127297,1.0,2.0
-0.10437525,1.0,1.0
1.3424127,1.0,1.0
0.53223544,1.0,2.0
2.1563356,1.0,1.0
1.6504622,1.0,1.0
2.2862725,1.0,2.0
0.6347751,1.0,2.0
-0.22057694,1.0,2.0
0.70535207,1.0,1.0
0.3182732,1.0,2.0
1.7523565,1.0,2.0
2.706374,1.0,2.0
2.0008183,1.0,1.0
0.4508115,1.0,2.0
2.1107118,1.0,2.0
1.6080301,1.0,1.0
2.6220727,1.0,1.0
0.7671219,1.0,2.0
1.9301118,1.0,1.0
2.2229643,1.0,2.0
2.028389,1.0,2.0
2.7052042,1.0,2.0
1.6428195,1.0,2.0
2.6932828,1.0,1.0
2.009781,1.0,2.0
2.8831074,1.0,1.0
1.9432777,1.0,1.0
2.7007787,1.0,2.0
1.8423749,1.0,1.0
1.553219,1.0,2.0
0.6426142,1.0,2.0
1.9901623,1.0,1.0
-0.4924937,1.0,2.0
2.9129422,1.0,2.0
2.0736132,1.0,2.0
1.2652863,1.0,2.0
1.0124208,1.0,2.0
0.9176804,1.0,2.0
0.010519605,1.0,2.0
0.36411822,1.0,1.0
2.1890292,1.0,1.0
1.8504092,1.0,1.0
1.0304911,1.0,2.0
2.8453026,1.0,2.0
2.1368868,1.0,2.0
1.9973278,1.0,1.0
2.7553797,1.0,1.0
2.1058054,1.0,2.0
1.4501687,1.0,1.0
0.20678827,1.0,2.0
2.5150168,1.0,1.0
2.8095834,1.0,1.0
2.2237387,1.0,1.0
-0.08857587,1.0,1.0
2.294755,1.0,1.0
1.179295,1.0,1.0
0.49716273,1.0,2.0
2.01083,1.0,2.0
-0.25316778,1.0,2.0
1.5969403,1.0,2.0
2.1194553,1.0,2.0
2.635199,1.0,2.0
2.2209332,1.0,1.0
1.1706237,1.0,1.0
-0.30486792,1.0,2.0
2.5900326,1.0,1.0
2.1774344,1.0,1.0
2.596675,1.0,1.0
0.2004121,1.0,2.0
2.2253585,1.0,2.0
0.6701733,1.0,1.0
0.96718043,1.0,2.0
-0.16625679,1.0,1.0
1.4384423,1.0,2.0
1.165656,1.0,1.0
1.5196284,1.0,2.0
2.8567295,1.0,2.0
2.1702034,1.0,1.0
2.3871343,1.0,2.0
2.7413323,1.0,2.0
0.7939089,1.0,2.0
2.2057934,1.0,2.0
2.8542583,1.0,2.0
2.4970605,1.0,1.0
2.5138247,1.0,2.0
1.5239946,1.0,2.0
